date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-11-30,600547,600887,600519,600019,000002,601600,600309,600276,300017,600489,600115,600383,600050,601668,600029,000963,000938,600031,000858,600688
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2016-12-30,600547,600887,600519,600309,600019,601600,600115,600489,000538,600688,600276,000651,000002,000963,600050,600029,002304,300017,600383,600031
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-01-26,601600,600519,002120,600547,600050,000938,601989,600887,600233,601628,000651,000963,000538,600362,600276,600028,000002,601088,601318,600489
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-02-28,600519,601600,002120,600547,600050,600276,600233,601989,000938,601628,600887,000538,601318,000651,000002,600340,600028,000963,601088,600309
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-03-31,600519,601600,600547,002120,600276,600050,601989,601628,000963,600233,600887,601088,000651,601318,600340,002304,000002,000538,002241,000858
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-04-28,600519,601857,601628,600031,601600,000725,600276,600010,601899,000858,601088,601989,002027,600362,000651,002304,600309,000709,002024,600489
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-05-31,600519,601628,601857,600031,601088,601600,000725,000858,002304,601899,600276,000651,600547,600362,600690,002024,002027,600188,601601,600010
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-06-30,600519,601628,601857,600031,000725,601600,000858,601899,600276,600547,002304,000651,601601,600362,600309,600690,002027,600188,600688,600436
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-07-31,600519,601857,601628,601600,600031,601601,000725,601899,600309,600276,000651,600188,000568,600010,600547,600690,600111,600362,000858,002024
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-08-31,600050,601600,601628,601857,600519,600031,000725,601601,600309,000651,600276,002024,000858,600690,600188,600010,600516,600547,000002,000538
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-09-29,600050,601857,600519,601628,000725,600309,600031,601088,000651,000002,600690,002024,600276,000858,601601,000538,000568,600516,600188,600547
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-10-31,600050,601628,600519,601857,000725,601601,600309,600690,000651,601088,600031,600516,000858,600276,600887,002304,600188,002024,000002,002120
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-11-30,601628,600519,600050,601857,000725,601601,600309,601088,600690,000858,000651,600031,600188,600276,600887,600585,000002,600516,000568,002024
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017-12-29,600519,601628,600050,601857,000725,601601,000858,600690,600188,601088,600887,600516,600031,000651,600276,000002,601899,600585,600111,002304
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-01-31,600519,601628,601857,600050,000063,000858,601318,000002,000651,601601,601888,600690,000725,601088,000568,600585,600031,600760,601899,600276
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-02-28,600519,601857,601628,600050,000063,601600,000858,601601,000651,601888,601318,000002,600690,601088,000725,002008,600887,600276,000568,600760
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-03-30,600519,601857,601628,000063,600050,601318,601888,601600,601601,000651,000858,000002,000725,600276,600690,600760,002008,002120,600585,000568
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-04-27,600519,601628,601888,600050,601601,601857,600011,000858,002304,000651,600029,600276,601111,600887,600332,600031,300015,600010,601318,600436
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
