,pe_ratio,pb_ratio,market_cap,report_date,ors,npgr,roic,pe_ratio_score,pb_ratio_score,market_cap_score,report_date_score,ors_score,npgr_score,roic_score
000516.SZ,34.081,3.9024,125.8318,2015-09-30,803929920.0,-11.0799999237,0.0949999988,6,6,7,8,5,6,5
000517.SZ,127.9427,3.8395,135.6351,2015-09-30,80110016.0,-91.1600036621,0.0270000007,9,6,8,8,9,9,6
000518.SZ,-387.299,7.2427,49.6246,2015-09-30,67145232.0,-116.1200027466,-0.1589999944,1,9,4,8,9,9,8
000519.SZ,55.1522,4.7006,191.8697,2015-09-30,380776224.0,-20.8600006104,-0.1150000021,7,7,9,8,7,7,8
000520.SZ,0.6054,10.5398,25.6057,2015-09-30,192330384.0,-97.5,-0.0140000004,3,9,1,8,8,9,7
000521.SZ,15.9886,1.3317,46.97,2015-09-30,1942291712.0,-32.3199996948,1.2829999924,4,1,3,8,3,7,1
000523.SZ,141.5305,5.8482,62.8592,2015-09-30,1880905472.0,13.6000003815,0.0320000015,9,8,5,8,3,4,6
000524.SZ,116.3099,8.2869,50.9414,2015-09-30,79520352.0,25.7999992371,0.1389999986,8,9,4,8,9,4,5
000525.SZ,21.8921,1.7677,68.9348,2015-09-30,935065024.0,-44.8699989319,1.5900000334,4,2,5,8,4,8,1
000526.SZ,783.0583,26.3705,41.816,2015-09-30,6266338.5,321.3900146484,0.0240000002,10,10,3,8,10,1,6
000528.SZ,68.8594,0.9592,86.081,2015-09-30,1358710656.0,-87.4599990845,0.1710000038,7,1,6,8,3,9,4
000529.SZ,52.8572,7.4477,82.3728,2015-09-30,463449472.0,6.0199999809,0.0759999976,7,9,6,7,6,5,5
000530.SZ,44.1552,1.7474,50.5311,2015-09-30,484517152.0,3.3199999332,-0.4589999914,6,2,4,7,6,5,9
000531.SZ,10.0061,1.7059,57.0674,2015-09-30,587280448.0,-30.1800003052,0.2520000041,3,2,4,6,5,7,4
000532.SZ,143.4354,7.025,48.6383,2015-09-30,51748344.0,21.5200004578,0.0450000018,9,9,3,7,10,4,6
000533.SZ,27.957,3.1925,42.8997,2015-09-30,995159616.0,27.1800003052,0.5490000248,5,5,3,6,4,4,3
000534.SZ,111.727,3.6413,46.4737,2015-09-30,190476896.0,-3.8299999237,0.1389999986,8,6,3,6,8,6,5
000536.SZ,69.7935,3.0153,84.6885,2015-09-30,1453480064.0,-69.1299972534,1.4170000553,8,5,6,6,3,8,1
000537.SZ,20.2104,2.0146,38.2487,2015-09-30,359782560.0,-48.1699981689,-3.7449998856,4,3,2,6,7,8,10
000538.SZ,26.1306,5.5288,687.5321,2015-09-30,5145199616.0,10.1499996185,1.8400000334,5,8,10,6,1,5,1
000539.SZ,12.135,1.6726,373.8202,2015-09-30,6776239616.0,4.6100001335,1.6360000372,3,2,10,6,1,5,1
000540.SZ,15.2784,3.7499,316.0379,2015-09-30,3128890368.0,47.5099983215,-0.4609999955,4,6,10,6,2,3,9
000541.SZ,72.9905,2.994,129.5031,2015-09-30,708115200.0,-75.5800018311,0.1159999967,8,5,8,6,5,8,5
000543.SZ,11.6793,1.3899,135.8595,2015-09-30,2870291712.0,33.4500007629,2.7230000496,3,1,8,6,2,3,1
000544.SZ,60.6904,4.4765,40.9579,2015-09-30,77154040.0,78.75,1.3890000582,7,7,3,6,9,2,1
000545.SZ,86.6231,4.3819,74.0125,2015-09-30,156728784.0,176.2799987793,0.0130000003,8,7,6,6,8,1,6
000546.SZ,84.5034,2.9644,48.5933,2015-09-30,651024896.0,-24.4500007629,0.0350000001,8,5,3,6,5,7,6
000547.SZ,73.3944,4.6248,209.5836,2015-09-30,247241968.0,74.9499969482,-0.0869999975,8,7,9,6,7,2,8
000548.SZ,313.9811,2.6053,38.2399,2015-09-30,40932516.0,-62.5099983215,0.2240000069,10,4,2,6,10,8,4
000550.SZ,11.2665,2.1042,228.1475,2015-09-30,4976887808.0,0.6200000048,-0.2689999938,3,3,9,6,1,6,9
000551.SZ,131.1879,2.6992,35.2871,2015-09-30,515084064.0,-9.4099998474,0.1560000032,9,4,2,6,6,6,5
000552.SZ,33.3703,1.481,91.0214,2015-09-30,656423360.0,-39.3199996948,-1.0319999456,6,1,6,6,5,8,10
000553.SZ,19.7948,3.0684,63.5498,2015-09-30,558298624.0,-65.6900024414,0.0909999982,4,5,5,6,5,8,5
000554.SZ,884.2989,4.9481,45.3388,2015-09-30,705741056.0,-49.4900016785,-0.001,10,7,3,6,5,8,7
000555.SZ,82.2811,7.7477,233.5831,2015-09-30,1657259520.0,40.75,-0.5720000267,8,9,9,6,3,3,10
000557.SZ,-2703.4845,32.5848,45.8338,2015-09-30,2151049.0,-97.2799987793,-0.0160000008,1,10,3,6,10,9,7
000558.SZ,-1940.8155,9.5956,153.6755,2015-09-30,546803136.0,-230.4799957275,-0.1309999973,1,9,8,6,6,9,8
000559.SZ,60.7867,12.688,489.1447,2015-09-30,1965269120.0,11.6700000763,0.3740000129,7,10,10,6,3,5,3
000560.SZ,506.8018,2.3947,85.0762,2015-09-30,293632096.0,-74.8700027466,-0.0299999993,10,4,6,6,7,8,7
000561.SZ,132.2631,5.2584,49.8722,2015-09-30,157817072.0,4.0399999619,-0.2160000056,9,8,4,6,8,5,9
000563.SZ,25.9393,2.4946,108.9557,2015-09-30,200495232.0,40.3100013733,0.0769999996,5,4,7,6,8,3,5
000564.SZ,93.1459,1.8588,56.9212,2015-09-30,2150845952.0,-34.3199996948,0.3950000107,8,2,4,6,3,7,3
000565.SZ,26.384,5.6603,43.2291,2015-09-30,131272960.0,293.6600036621,-0.1030000001,5,8,3,6,8,1,8
000566.SZ,149.9962,12.3938,272.5066,2015-09-30,388812224.0,37.3199996948,-0.0359999985,9,10,9,6,6,3,7
000567.SZ,162.4094,10.9532,22.937,2015-09-30,3186031.5,64.9899978638,0.001,9,10,1,6,10,3,7
