date,open,high,low,close,volume,openinterest
20150415,17.5507,17.775,17.0582,17.1943,550297.74,
20150416,17.1783,18.0993,17.0982,18.0673,815689.92,
20150417,18.5398,19.2125,18.2635,18.8001,1105482.02,
20150420,18.6319,19.0083,18.3396,18.3436,834175.47,
20150421,18.4236,19.7731,18.4236,19.693,998490.42,
20150422,19.8692,20.5339,19.6329,19.9733,729173.63,
20150423,19.9773,20.0814,19.5208,19.6369,523648.07,
20150424,19.4207,19.8211,19.1004,19.4127,588074.79,
20150427,19.689,20.5259,19.689,20.5259,839570.19,
20150428,22.524,22.5801,22.0235,22.5801,1172725.22,
20150429,23.2168,24.6062,22.8524,23.1086,1846459.67,
20150430,22.8964,23.0926,22.2237,22.8243,1248568.49,
20150504,22.8924,23.1327,22.4239,22.6241,812636.88,
20150505,22.4239,22.468,21.1225,21.3227,1139891.34,
20150506,21.547,21.7352,20.582,20.8222,866563.78,
20150507,20.622,21.1706,20.4218,21.1345,683737.28,
20150508,21.2827,21.4269,20.8262,21.2907,616799.34,
20150511,21.2226,22.0755,20.8422,22.0235,955600.15,
20150512,22.0195,22.0195,21.575,21.7472,599976.2,
20150513,21.7072,22.0115,21.3027,21.6911,689721.27,
20150514,21.4709,21.6631,21.3027,21.3348,473856.16,
20150515,21.3388,21.3748,20.7822,20.8382,468929.24,
20150518,20.7822,20.7822,20.2656,20.4618,520795.15,
20150519,20.4618,21.8033,20.4618,21.4589,836041.55,
20150520,21.4829,22.1156,21.3067,21.6591,846443.83,
20150521,21.7472,23.8254,21.7432,23.3769,1194578.66,
20150522,23.5731,23.6452,23.0246,23.5131,759734.77,
20150525,23.5011,24.2859,23.2808,24.0336,872590.31,
20150526,24.0977,24.8865,23.8294,24.5942,892207.69,
20150527,24.6022,24.6022,23.6412,23.7974,867398.17,
20150528,23.7974,24.4861,23.1247,23.1807,920370.45,
20150529,23.2688,25.0667,22.6401,24.9106,1029297.25,
20150601,24.9586,26.4682,24.4261,26.0478,1059311.53,
20150602,26.0278,26.1879,25.1909,25.6874,892433.35,
20150603,25.6914,26.1439,25.2669,25.6674,733744.96,
20150604,25.6674,25.6714,23.1126,25.0387,916413.95,
20150605,25.2669,26.228,25.0267,25.6153,970324.11,
20150608,25.4632,25.4632,24.4261,25.0227,867614.29,
20150609,25.0267,25.2229,24.35,24.5382,723917.81,
20150610,24.2258,25.2189,24.0697,24.8865,650495.39,
20150611,24.6263,24.7864,24.386,24.5822,618084.01,
20150612,24.5862,24.8865,24.5382,24.7104,606481.83,
20150615,24.7384,24.8225,24.0256,24.1458,652425.87,
20150616,24.0256,24.0256,23.1447,23.3009,710351.37,
20150617,23.3049,23.8014,22.6121,23.6332,637022.47,
20150618,23.3089,23.5451,22.6241,22.6281,502694.8,
20150619,22.2677,22.6001,21.2226,21.2226,684244.46,
20150623,21.3067,23.2128,21.3067,23.1727,1103565.04,
20150624,23.3569,23.5131,22.8684,23.429,794147.41,
20150625,24.366,24.9666,23.425,23.8735,1268791.65,
20150626,23.425,23.7854,21.595,22.7923,1063363.65,
20150629,23.6452,23.9455,21.6671,23.4891,1446011.8,
20150630,23.5451,25.7835,23.1447,25.5873,1656536.52,
20150701,25.5873,25.9757,24.0857,24.35,1454746.33,
20150702,24.5622,24.7464,22.4319,23.421,1218824.15,
20150703,21.3531,22.5769,21.083,21.083,2439546.6,
20150706,22.7879,22.7879,19.1165,20.4247,3102838.92,
20150707,19.6651,20.2559,18.3822,18.416,2898844.86,
20150708,16.5845,17.4201,16.5761,16.5761,3963477.97,
20150709,16.5761,18.2303,16.5761,18.2303,1948756.82,
20150710,19.395,20.0533,18.8295,20.0533,1275897.09,
20150713,21.0999,22.0621,20.5935,22.0621,2630342.61,
20150714,21.9608,22.5094,20.8045,20.9986,2545717.38,
20150715,20.7876,21.5219,19.5385,19.7579,1755364.68,
20150716,19.7664,20.7285,19.7664,20.2053,1274559.03,
20150717,20.3994,21.2771,20.2643,20.9986,1393204.58,
20150720,20.948,21.1759,20.4163,20.7032,1372850.14,
20150721,20.2812,20.737,20.1293,20.4331,977831.92,
20150722,20.3403,20.4753,19.7579,19.9943,1150748.73,
20150723,19.9858,20.6188,19.9858,20.3065,1133519.19,
20150724,20.3825,20.4331,19.6482,19.7411,1293606.28,
20150727,19.3275,19.3528,17.7661,17.7746,1714456.62,
20150728,17.4116,18.9477,17.0487,18.7873,1964251.07,
20150729,18.8042,19.1165,18.3147,19.0659,1005729.64,
20150730,18.8633,19.0321,18.4075,18.5004,792569.29,
20150731,18.3147,18.8886,18.1881,18.8295,733088.59,
20150803,18.5679,19.4963,18.4582,19.4879,1126189.45,
20150804,19.4372,19.8423,19.0743,19.7411,993073.65,
20150805,19.5723,19.6735,19.1249,19.1587,583790.5,
20150806,18.9055,19.0659,18.6101,18.7114,430168.72,
20150807,18.9477,19.1249,18.7451,18.9983,481553.97,
20150810,19.395,19.7833,18.9899,19.6145,1000596.73,
20150811,19.6229,20.1715,19.4288,19.6229,977862.84,
20150812,19.5638,19.7073,19.0827,19.1503,717453.01,
20150813,19.049,19.5554,18.9899,19.3697,703215.67,
20150814,19.3022,19.5807,18.9899,19.0237,1047845.54,
20150817,18.9899,18.9899,18.5257,18.7789,903269.07,
20150818,18.7789,18.973,17.2428,17.707,1029663.04,
20150819,17.4707,17.918,16.9559,17.7324,917197.51,
20150820,17.5889,17.6142,16.9137,16.9896,908709.95,
20150821,16.863,17.0318,16.0359,16.0781,1173428.0,
20150824,15.5548,15.5717,14.4745,14.4745,1988725.61,
20150825,13.9259,15.6139,13.5546,14.694,2101824.21,
20150826,15.0231,16.0022,14.7699,15.5717,1795758.48,
20150827,16.0106,16.1625,15.0569,15.9262,1545402.7,
20150828,16.0528,16.863,15.7912,16.4579,1387208.32,
20150831,15.2763,15.5886,14.8121,15.5717,2006762.56,
20150901,15.1075,15.4029,14.4323,15.3523,1530078.99,
20150902,14.8121,15.3607,14.5589,15.0653,1610982.39,
20150907,15.0906,15.4958,14.5167,14.618,980552.48,
20150908,14.5167,14.9134,14.3648,14.8543,573528.81,
20150909,14.8628,15.2594,14.7446,15.0653,1098815.94,
20150910,14.8543,15.0231,14.6855,14.7277,573597.62,
20150911,14.7277,14.8881,14.4998,14.6096,429117.16,
20150914,14.7446,14.8037,13.7993,13.9259,717718.24,
20150915,13.9175,14.0019,13.3773,13.5461,781544.9,
20150916,13.6643,14.6264,13.4702,14.2804,791085.04,
20150917,14.3226,14.3226,13.85,13.85,739100.47,
20150918,13.9681,14.061,13.7993,13.9175,506207.34,
20150921,13.6474,14.1791,13.6474,14.0019,533680.06,
20150922,14.0863,14.4745,13.9766,14.1876,580216.76,
20150923,14.0525,14.1538,13.8669,13.8837,581667.12,
20150924,13.9681,14.0694,13.7993,13.8922,496201.14,
