date,open,high,low,close,volume,openinterest
2006-12-19,2342.18,2381.634,2315.985,2364.177,87054928.0,
2006-12-20,2356.262,2381.132,2332.927,2373.205,78298935.0,
2006-12-21,2372.464,2386.824,2339.909,2342.938,83182551.0,
2006-12-22,2334.273,2366.694,2321.922,2343.668,70484620.0,
2006-12-25,2350.128,2452.429,2350.128,2435.762,73939450.0,
2006-12-26,2437.854,2505.697,2424.936,2479.732,72261492.0,
2006-12-27,2478.063,2538.663,2461.071,2536.387,72118218.0,
2006-12-28,2538.952,2611.791,2530.331,2567.594,78718941.0,
2006-12-29,2585.417,2698.904,2585.417,2675.474,86769012.0,
2007-01-04,2728.188,2847.615,2684.818,2715.719,120156021.0,
2007-01-05,2668.577,2685.804,2617.019,2641.334,106155625.0,
2007-01-08,2621.068,2708.444,2620.625,2707.199,106813244.0,
2007-01-09,2711.049,2809.394,2691.36,2807.804,110751267.0,
2007-01-10,2838.113,2841.741,2770.988,2825.576,111769365.0,
2007-01-11,2819.367,2841.18,2763.886,2770.11,121598717.0,
2007-01-12,2745.321,2782.025,2652.578,2668.11,107303768.0,
2007-01-15,2660.07,2795.331,2658.879,2794.701,91761561.0,
2007-01-16,2818.663,2830.803,2757.205,2821.017,111178574.0,
2007-01-17,2828.401,2870.422,2742.588,2778.9,127377480.0,
2007-01-18,2760.944,2784.043,2679.705,2756.983,112313956.0,
2007-01-19,2761.886,2833.454,2761.886,2832.207,122061894.0,
2007-01-22,2857.896,2934.647,2857.896,2933.19,138576090.0,
2007-01-23,2964.687,2970.685,2851.919,2949.144,142791803.0,
2007-01-24,2955.424,2994.282,2927.721,2975.129,122056790.0,
2007-01-25,2946.504,2947.149,2853.822,2857.365,117197215.0,
2007-01-26,2805.956,2905.984,2720.827,2882.558,109599131.0,
2007-01-29,2897.254,2954.336,2885.861,2945.263,112067906.0,
2007-01-30,2959.398,2980.51,2901.762,2930.562,111931721.0,
2007-01-31,2926.075,2929.646,2766.747,2786.335,114265970.0,
2007-02-01,2744.814,2801.689,2706.291,2785.432,93443531.0,
2007-02-02,2791.49,2796.436,2666.862,2673.212,85446236.0,
2007-02-05,2658.074,2672.352,2610.331,2612.537,69224512.0,
2007-02-06,2612.839,2677.042,2541.525,2675.697,86629950.0,
2007-02-07,2688.96,2745.387,2681.329,2716.175,94883764.0,
2007-02-08,2725.14,2751.162,2691.268,2737.732,88434295.0,
2007-02-09,2741.48,2747.944,2704.365,2730.386,80874438.0,
2007-02-12,2729.836,2807.51,2728.783,2807.174,79009403.0,
2007-02-13,2819.138,2835.089,2801.313,2831.872,79001671.0,
2007-02-14,2836.819,2915.063,2823.382,2905.093,94044555.0,
2007-02-15,2923.666,2994.622,2923.666,2993.008,108831177.0,
2007-02-16,3018.18,3036.346,2975.827,2998.474,117921722.0,
2007-02-26,2999.086,3041.336,2960.745,3040.599,112056992.0,
2007-02-27,3048.829,3049.771,2763.395,2771.791,161375663.0,
2007-02-28,2734.595,2888.899,2732.884,2881.073,121479168.0,
2007-03-01,2877.203,2878.355,2760.912,2797.19,127364860.0,
2007-03-02,2792.941,2846.158,2777.796,2831.526,93943965.0,
2007-03-05,2827.675,2858.441,2723.065,2785.306,106910584.0,
2007-03-06,2776.167,2866.332,2756.961,2840.175,77040486.0,
2007-03-07,2851.747,2911.416,2849.648,2896.594,87913930.0,
2007-03-08,2904.185,2928.803,2871.464,2928.015,88955123.0,
2007-03-09,2934.493,2962.421,2891.814,2937.91,107139105.0,
2007-03-12,2945.923,2958.632,2904.744,2954.914,101542444.0,
2007-03-13,2958.096,2966.194,2932.234,2964.794,107189316.0,
2007-03-14,2933.679,2934.454,2868.807,2906.334,113730739.0,
2007-03-15,2905.976,2955.462,2905.976,2951.698,101745754.0,
2007-03-16,2964.094,2979.708,2899.032,2930.481,122681308.0,
2007-03-19,2864.256,3037.999,2852.858,3014.442,109971752.0,
2007-03-20,3024.781,3033.02,2998.804,3032.195,92761890.0,
2007-03-21,3042.098,3057.71,3020.949,3057.38,99190127.0,
2007-03-22,3080.602,3099.819,3059.381,3071.225,126065545.0,
2007-03-23,3071.808,3085.324,3008.154,3074.286,118686417.0,
2007-03-26,3083.938,3123.179,3069.473,3122.811,122660537.0,
2007-03-27,3126.025,3145.044,3103.779,3138.826,124578931.0,
2007-03-28,3140.68,3180.332,3052.078,3173.018,167267939.0,
2007-03-29,3179.803,3273.727,3176.526,3197.537,149539661.0,
2007-03-30,3178.496,3212.389,3157.03,3183.983,89424006.0,
2007-04-02,3196.587,3253.435,3196.587,3252.595,97350446.0,
2007-04-03,3265.676,3292.578,3251.523,3291.299,108601391.0,
2007-04-04,3295.976,3308.148,3266.559,3291.542,112616107.0,
2007-04-05,3286.163,3326.916,3259.626,3319.14,114528051.0,
2007-04-06,3287.684,3334.224,3273.855,3323.585,119644881.0,
2007-04-09,3333.422,3399.515,3333.262,3398.95,137314104.0,
2007-04-10,3405.233,3444.374,3351.105,3444.291,147807284.0,
2007-04-11,3454.417,3497.52,3428.782,3495.224,147572114.0,
2007-04-12,3503.227,3532.862,3488.077,3531.029,135389879.0,
2007-04-13,3537.22,3563.856,3504.161,3518.267,150695876.0,
2007-04-16,3523.217,3597.215,3523.217,3596.441,131039101.0,
2007-04-17,3611.63,3622.888,3510.498,3611.87,160660646.0,
2007-04-18,3614.678,3623.867,3564.23,3612.396,150485424.0,
2007-04-19,3610.024,3617.438,3358.93,3449.016,172725541.0,
2007-04-20,3460.904,3591.461,3460.904,3584.204,138889292.0,
2007-04-23,3615.789,3710.886,3615.789,3710.886,163498116.0,
2007-04-24,3736.154,3762.388,3689.134,3720.532,174389341.0,
2007-04-25,3708.571,3769.247,3653.989,3743.959,151763061.0,
2007-04-26,3766.476,3784.68,3732.601,3783.063,117256968.0,
2007-04-27,3788.748,3802.923,3720.596,3759.867,132175456.0,
2007-04-30,3784.272,3851.35,3759.48,3841.272,146525713.0,
2007-05-08,3937.938,3964.714,3901.326,3950.011,160568200.0,
2007-05-09,3961.103,4015.219,3875.384,4013.085,208397449.0,
2007-05-10,4021.422,4072.138,3991.477,4049.701,171113940.0,
2007-05-11,4024.422,4039.668,3949.368,4021.678,140638210.0,
2007-05-14,3970.661,4081.426,3940.358,4046.392,139326221.0,
2007-05-15,4055.834,4069.846,3891.363,3899.178,156677553.0,
2007-05-16,3890.809,3987.405,3845.227,3986.043,131719774.0,
2007-05-17,4002.485,4064.283,3982.995,4048.293,139277988.0,
2007-05-18,4041.39,4052.097,3999.165,4030.258,130756274.0,
2007-05-21,3902.347,4083.416,3892.975,4072.225,156171062.0,
2007-05-22,4091.143,4136.63,4086.825,4110.379,173562090.0,
2007-05-23,4125.426,4175.444,4093.915,4173.709,161399478.0,
2007-05-24,4188.677,4208.388,4089.385,4151.133,180984388.0,
2007-05-25,4133.192,4190.469,4111.262,4179.776,154192860.0,
2007-05-28,4221.578,4283.93,4215.243,4272.111,178615174.0,
2007-05-29,4288.98,4335.963,4262.024,4334.924,172097642.0,
2007-05-30,4087.405,4275.237,4015.512,4053.088,185596729.0,
2007-05-31,4006.28,4178.107,3858.04,4109.654,173115312.0,
2007-06-01,4120.628,4181.28,3966.977,4000.742,160934985.0,
2007-06-04,3981.817,3987.269,3659.089,3670.401,114859357.0,
2007-06-05,3564.433,3768.563,3404.146,3767.101,157137959.0,
2007-06-06,3781.375,3821.697,3682.794,3776.317,145873852.0,
2007-06-07,3787.702,3891.403,3779.5,3890.803,142366475.0,
2007-06-08,3900.027,3935.786,3852.045,3913.135,135877192.0,
2007-06-11,3942.005,4000.416,3930.74,3995.68,133842739.0,
2007-06-12,4011.679,4073.181,3910.001,4072.138,149472398.0,
2007-06-13,4110.742,4193.446,4102.041,4176.48,166948499.0,
2007-06-14,4162.207,4179.725,4085.785,4115.209,138385604.0,
2007-06-15,4085.656,4152.543,4067.357,4132.869,108665532.0,
2007-06-18,4195.391,4267.74,4193.314,4253.348,128977748.0,
2007-06-19,4247.745,4280.85,4209.575,4269.524,124581814.0,
2007-06-20,4269.455,4311.997,4164.275,4181.323,135212775.0,
2007-06-21,4170.894,4256.542,4147.054,4230.823,112919856.0,
2007-06-22,4230.967,4249.431,4024.489,4091.445,119692037.0,
2007-06-25,4102.787,4131.13,3912.422,3941.081,101606655.0,
2007-06-26,3863.248,3976.191,3818.853,3973.371,93817469.0,
2007-06-27,3985.716,4090.715,3948.287,4078.599,95113481.0,
2007-06-28,4080.194,4113.283,3912.814,3914.204,97831610.0,
2007-06-29,3824.29,3919.345,3779.813,3820.703,86099985.0,
2007-07-02,3800.233,3859.861,3724.187,3836.294,74254060.0,
2007-07-03,3854.716,3906.761,3821.463,3899.724,69749217.0,
2007-07-04,3906.012,3916.475,3800.275,3816.165,56474777.0,
2007-07-05,3769.639,3778.399,3614.531,3615.872,63405936.0,
2007-07-06,3599.818,3785.346,3563.544,3781.348,80737241.0,
2007-07-09,3809.67,3900.904,3782.733,3883.216,83480539.0,
2007-07-10,3895.909,3929.416,3841.801,3853.021,76563334.0,
2007-07-11,3837.796,3879.292,3812.138,3865.723,51353880.0,
2007-07-12,3874.039,3925.604,3861.037,3915.991,55158363.0,
2007-07-13,3920.827,3935.506,3878.184,3914.395,46024471.0,
2007-07-16,3920.653,3931.868,3820.574,3821.916,47615280.0,
2007-07-17,3809.558,3919.777,3767.222,3896.191,48712223.0,
2007-07-18,3880.852,3971.61,3861.907,3930.06,62871834.0,
2007-07-19,3918.539,3947.33,3887.589,3912.941,48737595.0,
2007-07-20,3918.409,4062.116,3918.409,4058.853,83110646.0,
2007-07-23,4091.242,4220.322,4091.242,4213.361,121668964.0,
2007-07-24,4238.32,4284.829,4192.72,4210.329,110989252.0,
2007-07-25,4212.95,4325.378,4212.23,4323.966,93950043.0,
2007-07-26,4347.778,4371.512,4304.193,4346.458,99210669.0,
2007-07-27,4315.373,4357.343,4268.788,4345.357,100245813.0,
2007-07-30,4348.607,4450.188,4345.793,4440.769,112589768.0,
2007-07-31,4432.265,4476.626,4379.199,4471.032,108561410.0,
2007-08-01,4488.774,4502.296,4284.871,4300.563,126292874.0,
2007-08-02,4316.567,4431.85,4290.809,4407.73,98278578.0,
2007-08-03,4440.976,4562.688,4438.963,4560.774,115116672.0,
2007-08-06,4600.118,4629.968,4564.313,4628.108,111707979.0,
2007-08-07,4642.01,4687.435,4581.294,4651.225,116181085.0,
2007-08-08,4614.586,4711.316,4568.695,4663.162,118909163.0,
2007-08-09,4658.592,4768.886,4658.592,4754.095,97660198.0,
2007-08-10,4745.181,4769.619,4640.766,4749.369,101867058.0,
