===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,LongShortStrategy,len,datetime,CrossOver,len,crossover,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
109,2006-day-001,109,2006-06-06 23:59:59.999989,3598.58,3598.58,3519.86,3529.1,0.0,0.0,LongShortStrategy,109,732468.9999999999,CrossOver,109,0.0,Broker,109,99646.49999999999,99646.49999999999,BuySell,109,,3652.5586999999996,Trades - Net Profit/Loss,109,,-582.4999999999991
110,2006-day-001,110,2006-06-07 23:59:59.999989,3536.39,3575.67,3512.25,3562.36,0.0,0.0,LongShortStrategy,110,732469.9999999999,CrossOver,110,0.0,Broker,110,99646.49999999999,99646.49999999999,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,2006-day-001,111,2006-06-08 23:59:59.999989,3556.87,3556.87,3462.37,3462.37,0.0,0.0,LongShortStrategy,111,732470.9999999999,CrossOver,111,0.0,Broker,111,99646.49999999999,99646.49999999999,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,2006-day-001,112,2006-06-09 23:59:59.999989,3470.27,3531.7,3470.27,3520.99,0.0,0.0,LongShortStrategy,112,732471.9999999999,CrossOver,112,0.0,Broker,112,99646.49999999999,99646.49999999999,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,2006-day-001,113,2006-06-12 23:59:59.999989,3519.43,3528.27,3477.06,3480.76,0.0,0.0,LongShortStrategy,113,732474.9999999999,CrossOver,113,0.0,Broker,113,99646.49999999999,99646.49999999999,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,2006-day-001,114,2006-06-13 23:59:59.999989,3476.33,3476.33,3392.75,3408.02,0.0,0.0,LongShortStrategy,114,732475.9999999999,CrossOver,114,0.0,Broker,114,99646.49999999999,99646.49999999999,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,2006-day-001,115,2006-06-14 23:59:59.999989,3410.79,3433.72,3379.66,3414.21,0.0,0.0,LongShortStrategy,115,732476.9999999999,CrossOver,115,0.0,Broker,115,99646.49999999999,99646.49999999999,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,2006-day-001,116,2006-06-15 23:59:59.999989,3423.23,3496.64,3423.23,3493.25,0.0,0.0,LongShortStrategy,116,732477.9999999999,CrossOver,116,0.0,Broker,116,99646.49999999999,99646.49999999999,BuySell,116,,,Trades - Net Profit/Loss,116,,
117,2006-day-001,117,2006-06-16 23:59:59.999989,3508.39,3544.27,3459.56,3463.56,0.0,0.0,LongShortStrategy,117,732478.9999999999,CrossOver,117,0.0,Broker,117,99646.49999999999,99646.49999999999,BuySell,117,,,Trades - Net Profit/Loss,117,,
118,2006-day-001,118,2006-06-19 23:59:59.999989,3469.88,3520.51,3469.88,3490.24,0.0,0.0,LongShortStrategy,118,732481.9999999999,CrossOver,118,0.0,Broker,118,99646.49999999999,99646.49999999999,BuySell,118,,,Trades - Net Profit/Loss,118,,
119,2006-day-001,119,2006-06-20 23:59:59.999989,3474.6,3514.83,3453.14,3514.83,0.0,0.0,LongShortStrategy,119,732482.9999999999,CrossOver,119,0.0,Broker,119,99646.49999999999,99646.49999999999,BuySell,119,,,Trades - Net Profit/Loss,119,,
120,2006-day-001,120,2006-06-21 23:59:59.999989,3519.86,3526.86,3476.22,3526.84,0.0,0.0,LongShortStrategy,120,732483.9999999999,CrossOver,120,1.0,Broker,120,99646.49999999999,99646.49999999999,BuySell,120,,,Trades - Net Profit/Loss,120,,
121,2006-day-001,121,2006-06-22 23:59:59.999989,3542.65,3571.24,3523.72,3544.85,0.0,0.0,LongShortStrategy,121,732484.9999999999,CrossOver,121,0.0,Broker,121,97666.49999999999,99666.49999999999,BuySell,121,3470.8642,,Trades - Net Profit/Loss,121,,
122,2006-day-001,122,2006-06-23 23:59:59.999989,3545.6,3564.06,3530.0,3550.15,0.0,0.0,LongShortStrategy,122,732485.9999999999,CrossOver,122,0.0,Broker,122,97719.49999999999,99719.49999999999,BuySell,122,,,Trades - Net Profit/Loss,122,,
123,2006-day-001,123,2006-06-26 23:59:59.999989,3554.07,3566.55,3528.59,3534.84,0.0,0.0,LongShortStrategy,123,732488.9999999999,CrossOver,123,0.0,Broker,123,97566.39999999998,99566.39999999998,BuySell,123,,,Trades - Net Profit/Loss,123,,
124,2006-day-001,124,2006-06-27 23:59:59.999989,3540.49,3555.94,3500.72,3506.93,0.0,0.0,LongShortStrategy,124,732489.9999999999,CrossOver,124,0.0,Broker,124,97287.29999999997,99287.29999999997,BuySell,124,,,Trades - Net Profit/Loss,124,,
125,2006-day-001,125,2006-06-28 23:59:59.999989,3503.3,3526.09,3484.71,3506.07,0.0,0.0,LongShortStrategy,125,732490.9999999999,CrossOver,125,0.0,Broker,125,97278.69999999998,99278.69999999998,BuySell,125,,,Trades - Net Profit/Loss,125,,
126,2006-day-001,126,2006-06-29 23:59:59.999989,3519.54,3583.9,3519.54,3582.61,0.0,0.0,LongShortStrategy,126,732491.9999999999,CrossOver,126,0.0,Broker,126,98044.09999999998,100044.09999999998,BuySell,126,,,Trades - Net Profit/Loss,126,,
127,2006-day-001,127,2006-06-30 23:59:59.999989,3592.01,3655.02,3592.01,3648.92,0.0,0.0,LongShortStrategy,127,732492.9999999999,CrossOver,127,0.0,Broker,127,98707.19999999998,100707.19999999998,BuySell,127,,,Trades - Net Profit/Loss,127,,
128,2006-day-001,128,2006-07-03 23:59:59.999989,3648.91,3662.92,3639.07,3662.92,0.0,0.0,LongShortStrategy,128,732495.9999999999,CrossOver,128,0.0,Broker,128,98847.19999999998,100847.19999999998,BuySell,128,,,Trades - Net Profit/Loss,128,,
129,2006-day-001,129,2006-07-04 23:59:59.999989,3664.59,3670.75,3646.04,3670.75,0.0,0.0,LongShortStrategy,129,732496.9999999999,CrossOver,129,0.0,Broker,129,98925.49999999999,100925.49999999999,BuySell,129,,,Trades - Net Profit/Loss,129,,
130,2006-day-001,130,2006-07-05 23:59:59.999989,3656.71,3656.71,3607.81,3618.64,0.0,0.0,LongShortStrategy,130,732497.9999999999,CrossOver,130,0.0,Broker,130,98404.39999999998,100404.39999999998,BuySell,130,,,Trades - Net Profit/Loss,130,,
131,2006-day-001,131,2006-07-06 23:59:59.999989,3624.02,3665.54,3624.02,3662.39,0.0,0.0,LongShortStrategy,131,732498.9999999999,CrossOver,131,0.0,Broker,131,98841.89999999998,100841.89999999998,BuySell,131,,,Trades - Net Profit/Loss,131,,
132,2006-day-001,132,2006-07-07 23:59:59.999989,3657.0,3670.45,3627.02,3651.33,0.0,0.0,LongShortStrategy,132,732499.9999999999,CrossOver,132,0.0,Broker,132,98731.29999999997,100731.29999999997,BuySell,132,,,Trades - Net Profit/Loss,132,,
133,2006-day-001,133,2006-07-10 23:59:59.999989,3645.42,3671.09,3621.34,3666.51,0.0,0.0,LongShortStrategy,133,732502.9999999999,CrossOver,133,0.0,Broker,133,98883.09999999998,100883.09999999998,BuySell,133,,,Trades - Net Profit/Loss,133,,
134,2006-day-001,134,2006-07-11 23:59:59.999989,3656.57,3656.65,3609.05,3617.78,0.0,0.0,LongShortStrategy,134,732503.9999999999,CrossOver,134,0.0,Broker,134,98395.79999999997,100395.79999999997,BuySell,134,,,Trades - Net Profit/Loss,134,,
135,2006-day-001,135,2006-07-12 23:59:59.999989,3632.02,3662.83,3622.26,3630.5,0.0,0.0,LongShortStrategy,135,732504.9999999999,CrossOver,135,0.0,Broker,135,98522.99999999997,100522.99999999997,BuySell,135,,,Trades - Net Profit/Loss,135,,
136,2006-day-001,136,2006-07-13 23:59:59.999989,3617.55,3617.55,3552.52,3562.56,0.0,0.0,LongShortStrategy,136,732505.9999999999,CrossOver,136,-1.0,Broker,136,97843.59999999998,99843.59999999998,BuySell,136,,,Trades - Net Profit/Loss,136,,
137,2006-day-001,137,2006-07-14 23:59:59.999989,3545.92,3552.04,3508.25,3508.25,0.0,0.0,LongShortStrategy,137,732506.9999999999,CrossOver,137,0.0,Broker,137,99675.19999999998,99675.19999999998,BuySell,137,,3605.3205999999996,Trades - Net Profit/Loss,137,28.699999999999818,
138,2006-day-001,138,2006-07-17 23:59:59.999989,3512.22,3518.34,3462.77,3498.62,0.0,0.0,LongShortStrategy,138,732509.9999999999,CrossOver,138,0.0,Broker,138,99675.19999999998,99675.19999999998,BuySell,138,,,Trades - Net Profit/Loss,138,,
139,2006-day-001,139,2006-07-18 23:59:59.999989,3491.81,3516.31,3475.98,3492.11,0.0,0.0,LongShortStrategy,139,732510.9999999999,CrossOver,139,0.0,Broker,139,99675.19999999998,99675.19999999998,BuySell,139,,,Trades - Net Profit/Loss,139,,
140,2006-day-001,140,2006-07-19 23:59:59.999989,3497.48,3585.65,3497.48,3585.65,0.0,0.0,LongShortStrategy,140,732511.9999999999,CrossOver,140,0.0,Broker,140,99675.19999999998,99675.19999999998,BuySell,140,,,Trades - Net Profit/Loss,140,,
141,2006-day-001,141,2006-07-20 23:59:59.999989,3593.87,3612.48,3580.86,3589.63,0.0,0.0,LongShortStrategy,141,732512.9999999999,CrossOver,141,0.0,Broker,141,99675.19999999998,99675.19999999998,BuySell,141,,,Trades - Net Profit/Loss,141,,
142,2006-day-001,142,2006-07-21 23:59:59.999989,3580.53,3590.68,3546.24,3557.08,0.0,0.0,LongShortStrategy,142,732513.9999999999,CrossOver,142,0.0,Broker,142,99675.19999999998,99675.19999999998,BuySell,142,,,Trades - Net Profit/Loss,142,,
143,2006-day-001,143,2006-07-24 23:59:59.999989,3559.34,3633.5,3559.34,3632.93,0.0,0.0,LongShortStrategy,143,732516.9999999999,CrossOver,143,1.0,Broker,143,99675.19999999998,99675.19999999998,BuySell,143,,,Trades - Net Profit/Loss,143,,
144,2006-day-001,144,2006-07-25 23:59:59.999989,3639.65,3651.74,3621.71,3631.5,0.0,0.0,LongShortStrategy,144,732517.9999999999,CrossOver,144,0.0,Broker,144,97591.69999999998,99591.69999999998,BuySell,144,3567.38435,,Trades - Net Profit/Loss,144,,
